elo_diff,h2h_home_win_rate,h2h_total_games,home_venue_win_rate,away_venue_win_rate,rolling_margin_diff,rolling_score_for_diff,rolling_score_against_diff,rolling_win_rate_diff,streak_diff,rest_diff,ladder_position_diff,venue_encoded,away_interstate,home_interstate
-31.0,0.35714285714285715,14.0,0.5797101449275363,0.704225352112676,-21.6,-6.700000000000003,14.900000000000006,-0.19999999999999996,-4.0,2.0,-1.0,0.0,0.0,0.0
-161.5,0.5454545454545454,11.0,0.6190476190476191,0.5,2.4,-6.799999999999997,-9.200000000000003,-0.09999999999999998,0.0,-1.0,4.0,17.0,1.0,0.0
-179.7,0.45454545454545453,11.0,0.5555555555555556,0.7777777777777778,-54.1,-20.39999999999999,33.7,-0.5,-2.0,0.0,-16.0,6.0,0.0,0.0
-80.9,0.5,6.0,0.6736842105263158,0.13333333333333333,-18.200000000000003,-7.400000000000006,10.800000000000011,-0.19999999999999996,-3.0,0.0,-9.0,13.0,1.0,0.0
80.8,0.7777777777777778,9.0,0.6521739130434783,0.5,26.7,8.099999999999994,-18.60000000000001,0.29999999999999993,0.0,0.0,8.0,17.0,1.0,0.0
-135.5,0.125,8.0,0.36470588235294116,0.8333333333333334,-20.5,-0.09999999999999432,20.400000000000006,-0.09999999999999998,-5.0,0.0,-2.0,9.0,1.0,0.0
182.5,0.7142857142857143,7.0,0.5350877192982456,0.45,25.299999999999997,13.599999999999994,-11.700000000000003,0.29999999999999993,8.0,0.0,10.0,13.0,0.0,0.0
157.4,0.8888888888888888,9.0,0.8360655737704918,0.0,28.599999999999998,16.900000000000006,-11.700000000000003,0.30000000000000004,2.0,-1.0,9.0,12.0,0.0,0.0
-63.5,0.2727272727272727,11.0,0.7894736842105263,1.0,5.199999999999999,10.600000000000009,5.400000000000006,0.09999999999999998,-2.0,-2.0,-1.0,2.0,1.0,1.0
43.5,0.4444444444444444,9.0,0.4507042253521127,0.5789473684210527,8.3,11.0,2.700000000000003,0.0,-1.0,2.0,-5.0,6.0,1.0,0.0
291.4,0.625,8.0,0.5517241379310345,0.0,36.9,14.5,-22.400000000000006,0.5,2.0,-1.0,12.0,23.0,1.0,0.0
88.8,0.6666666666666666,9.0,0.6442307692307693,0.6770833333333334,1.2,3.5,2.299999999999997,0.19999999999999996,0.0,0.0,2.0,13.0,0.0,0.0
171.1,1.0,9.0,0.5714285714285714,0.0,18.700000000000003,21.4,2.6999999999999886,0.10000000000000003,2.0,0.0,5.0,0.0,1.0,0.0
-107.6,0.5555555555555556,9.0,0.7051282051282052,0.25,-35.9,-21.599999999999994,14.300000000000011,-0.39999999999999997,-4.0,0.0,-12.0,19.0,1.0,0.0
8.5,0.6,10.0,0.9,0.0,-6.8,-6.700000000000003,0.09999999999999432,-0.09999999999999998,-2.0,0.0,-3.0,26.0,1.0,1.0
43.0,0.5,12.0,0.5247524752475248,0.5494505494505495,9.8,1.3999999999999915,-8.400000000000006,0.10000000000000003,1.0,0.0,5.0,6.0,0.0,0.0
